Species	Min	1stQ	Median	Mean	3rdQ	Max
Nodipecten subnodosus	17.18	24.23	26.82	25.58	27.41	28.62
Naso vlamingii	14.18	28.05	28.55	28.32	28.73	29.8
Mytilus platensis	3.99	9.21	13.45	12.13	14.28	16.97
Mytilus planulatus	7.91	15.69	15.75	15.47	15.77	20.29
Mytilus galloprovincialis	4.35	14.77	15.51	16.17	18	29
Mytilus edulis	-1.55	9.2	10.2	10.2	10.93	28.87
Mytilus coruscus	12.85	19.73	22.06	20.89	22.06	22.16
Mytilus chilensis	6.51	6.51	6.895	7.508	7.07	13.62
Mycteroperca bonaci	-1.67	26.61	26.83	26.75	26.99	28.87
Mya arenaria	0.78	10.01	10.3	10.35	10.62	22.49
Muraenesox cinereus	13.62	26.34	27.65	26.56	28.18	29.97
Mugil liza	14.57	18.92	18.99	20.91	19.18	29.73
Mugil cephalus	6.73	23.95	24.04	23.93	24.22	29.8
Morone saxatilis	-1.6	13.62	15.23	14.54	16.2	25.41
Monostroma nitidum	8.59	22.02	22.16	21.26	22.16	25.11
Mizuhopecten yessoensis	7.53	8.107	13.83	14.5	18.282	24.93
Miichthys miiuy	15.09	17.4	23.12	21.38	25.04	27.66
Micropogonias furnieri	10.49	18.99	19.12	21.99	27.08	28.67
Metasepia tullbergi	20.65	24.44	26	25.41	26.48	29.28
Metapenaeus monoceros	21.63	23.08	26.75	25.19	27.51	28.8
Metapenaeus macleayi	15.85	19.65	20.37	20.67	22.01	28.09
Metapenaeus ensis	19.52	27.43	27.8	27.42	27.92	29.49
Meretrix lusoria	18.63	19.5	19.5	20.53	20.68	28.56
Mercenaria mercenaria	2.1	12.3	12.65	13.86	13.8	28.01
Melicertus kerathurus	17.16	20.09	21.65	21.31	21.71	27.79
Melanogrammus aeglefinus	0.79	9.89	10.29	10.27	10.68	23.55
Megalops atlanticus	8.67	25.61	26.89	26.24	27.18	28.67
Maja squinado	9.79	12.11	12.53	12.52	12.75	28.71
Magallana rivularis	17.26	23.04	28.82	24.97	28.82	28.82
Mactra veneriformis	13.32	19.5	19.5	19.5	19.5	20.68
Mactra glabrata	16.66	17.95	18.88	19.74	21.89	23
Macrocystis pyrifera	3.99	14.41	15.41	15.86	17.21	29.06
Macrocystis integrifolia	3.99	14.41	15.41	15.86	17.21	29.06
Lutjanus sebae	14.21	25.49	26.55	26.3	27.17	29.8
Lutjanus russelli	19.65	25.4	26.45	26.59	28.39	29.8
Lutjanus purpureus	22.5	27	27.78	27.36	28.14	28.43
Lutjanus malabaricus	21.4	26.79	27.64	27.33	28.09	29.64
Lutjanus johnii	19.36	25.48	25.48	26.12	25.84	29.97
Lutjanus guttatus	16.89	27.12	27.12	27.17	27.59	29.46
Lutjanus goldiei	27.78	27.78	27.78	27.78	27.78	27.78
Lutjanus erythropterus	20.41	26.44	26.95	26.99	28.05	29.35
Lutjanus bohar	20.29	28.01	28.06	28.02	28.59	29.97
Lutjanus argentimaculatus	15.49	22.51	25.48	24.23	25.48	29.8
Loxechinus albus	6.67	6.9	7.07	8.497	10.9	14.44
Liza vaigiensis	11.73	26.21	27.61	27.05	28.52	29.97
Liza ramada	10.16	11.88	12.76	14.64	16.39	26.76
Lethrinus miniatus	18.89	24.18	24.18	24.59	25.13	29.6
Lates calcarifer	15.76	25.48	25.48	25.5	25.48	29.87
Lateolabrax japonicus	10	18.12	19.71	19.57	20.7	27.66
Larkinia grandis	23.59	27.67	28.98	28.04	28.98	28.98
Larimichthys crocea	14.88	22.26	24.62	23.77	25.35	27.08
Laminaria japonica	-1.41	10.98	12.87	12.13	13.23	28.52
Laminaria digitata	-0.75	10.24	10.44	10.88	11.97	29.06
Konosirus punctatus	9.24	15.51	19.46	19.81	22.52	27.08
Kappaphycus alvarezii	24.33	25.31	25.31	25.96	26.14	28.74
Huso huso	8.18	15.22	15.22	14.53	15.78	16.34
Holothuria (Metriatyla) scabra	22.57	26.29	27.78	27.43	28.9	30.17
Hippopus hippopus	13.24	27.78	28.63	28.19	29.18	29.81
Hippoglossus hippoglossus	-0.26	8.73	9.32	8.984	10	25.58
Hiatula diphos	14.85	27.16	27.78	26.6	28.14	28.54
Helicolenus dactylopterus	5.98	10.46	11.33	13.35	16.21	28.12
Halocynthia roretzi	12.1	16.36	18.53	17.27	19.51	19.65
Haliotis tuberculata	11.57	13.06	13.22	16.19	19.08	29
Haliotis rufescens	10.82	11.51	11.59	12.31	12.9	28.69
Haliotis midae	15.71	17.04	18.99	19.48	21.94	23.23
Haliotis iris	11.46	11.49	12.92	13.05	12.99	20.41
Haliotis diversicolor	12.92	25.09	26.5	26.19	27.71	29.15
Haliotis discus	15.1	19.81	19.81	20.04	20.77	22.12
Gracilaria verrucosa	8.23	12.24	13.22	17.18	23.58	29
Gracilaria gracilis	9.68	10.95	12.11	12.19	12.8	27.37
Gnathanodon speciosus	15.58	25.52	25.77	26.17	26.77	29.85
Gelidium amansii	13.26	18.51	20.22	20.18	22.16	28.37
Gadus morhua	-1.59	7.54	9.86	8.764	10.34	24.09
Eucheuma denticulatum	23.81	25.07	25.92	26.05	27.26	28.91
Epinephelus tukula	21.64	24	25.57	25.51	26.66	29.44
Epinephelus tauvina	21.56	25.64	27.3	26.9	28.26	29.64
Epinephelus malabaricus	20.27	25.61	27.29	26.78	28.43	29.97
Epinephelus lanceolatus	11.27	23.51	25.57	25.44	28.01	29.8
Epinephelus fuscoguttatus	12.09	26.45	27.89	27.37	28.94	29.97
Epinephelus corallicola	24.14	26.11	27.45	27.27	28.6	29.8
Epinephelus coioides	21.09	25.75	27.13	26.83	28.39	29.87
Epinephelus chlorostigma	21.12	25.79	27.66	27.05	28.54	29.64
Epinephelus awoara	17.24	24.07	24.62	24.26	27.02	27.08
Epinephelus areolatus	9.33	25.75	26.78	26.72	27.46	30.11
Epinephelus akaara	16.1	18.71	24.44	22.69	25.4	27.93
Enteromorpha prolifera	2.33	9.93	10.84	11.74	12.09	29.04
Ensis ensis	4.5	10.68	11.19	11.41	12.03	18.83
Ensis directus	8.13	12.35	13.82	14.43	15.11	27.69
Emmelichthys nitidus	8.9	14.65	16.28	15.98	17.42	29.36
Eleutheronema tetradactylum	18.15	25.51	25.51	26.12	27.29	29.87
Dunaliella salina	15.68	15.68	20.61	21.34	27.36	27.36
Diplodus vulgaris	15.95	19.61	19.83	19.98	20.54	24.67
Diplodus sargus	12.41	18.94	19.68	19.92	20.97	27.04
Diplodus puntazzo	15.22	19.51	19.87	19.98	19.97	23.07
Dicentrarchus punctatus	13.33	16.02	19.94	20.17	22.11	29.18
Dicentrarchus labrax	8.55	11.88	11.88	12.44	12.01	23.07
Dentex tumifrons	15.54	22.34	22.72	22.67	23.83	27.25
Dentex gibbosus	17.24	25.1	26.75	25.97	27.66	28.06
Dentex dentex	12	18.48	18.97	19.44	20.56	28.86
Decapterus macrosoma	14.87	23.83	26.99	25.68	27.97	29.8
Cyclina sinensis	15.59	20.14	20.14	20.23	22.16	22.16
Cromileptes altivelis	22.53	25.3	26.16	26.28	27.18	29.8
Crassostrea virginica	-1.76	12.14	14.55	17.34	23.31	28.12
Crassostrea tulipa	24.6	28.14	28.17	27.93	28.17	28.17
Crassostrea rivularis	17.26	23.04	28.82	24.97	28.82	28.82
Crassostrea rhizophorae	18.89	23.75	26.21	25.79	27.44	28.92
Crassostrea madrasensis	22.98	28.41	28.59	28.21	28.88	29.12
Magallana bilineata	22.98	28.41	28.59	28.21	28.88	29.12
Crassostrea gigas	6.68	11.65	12.85	14.24	15.14	28.51
Crassostrea corteziensis	27.59	27.59	27.59	27.59	27.59	27.59
Crassostrea angulata	12.09	12.12	12.13	13.81	12.95	22.63
Coregonus lavaretus	5.44	6.61	7.36	7.388	8.55	28.55
Concholepas concholepas	10.34	13.95	17.35	16.28	19.25	19.25
Codium fragile	5.37	9.863	11.04	12.118	14.08	27.29
Cladosiphon okamuranus	19.81	19.81	19.81	19.81	19.81	9.81
Chondracanthus chamissoi	12.76	12.79	12.79	15.58	18.22	26.07
Chlamys varia	5.52	10.89	11.78	12.53	12.72	28.82
Chlamys farreri	10.65	15.01	20.05	20.54	26.36	28.9
Chelonia mydas	2.75	24.12	25.59	25.34	26.3	30
Chanos chanos	15.76	25.66	27.36	26.73	28.06	29.97
Chamelea gallina	4.5	10.31	10.48	11.46	11.95	22.69
Chaetodipterus faber	7.43	22.38	23.87	23.7	24.53	28.87
Cerastoderma glaucum	6.46	8.68	9.43	9.831	10.35	20.74
Cerastoderma edule	7.57	10.72	11.94	11.78	12.3	28.89
Centropristis striata	6.92	16.27	22.18	19.79	23.15	28.17
Centropomus undecimalis	18.12	24.55	25.05	25.38	25.8	28.67
Caulerpa racemosa	14.59	23.51	25.64	25.18	27.02	29.34
Carcinus maenas	4.5	10.53	10.69	10.79	11.8	29
Carcinus aestuarii	14.49	17.44	17.81	18.46	19.47	23.02
Caranx sexfasciatus	18.17	27.28	27.9	27.42	28.72	30.11
Caranx ignobilis	15.48	25.09	25.97	25.71	26.09	29.9
Caranx hippos	7.52	23.51	24.56	24.39	26.71	29.87
Carangoides malabaricus	18.17	27.15	27.78	27.16	28.02	29.87
Capsosiphon fulvescens	5.06	9.98	11.64	11.45	12.28	22.16
Callinectes sapidus	8.56	23.35	24	23.11	24.07	28.36
Bolinus brandaris	16.68	18.86	19.37	19.49	19.67	23.1
Boleophthalmus pectinirostris	18.15	23.55	25.57	24.71	26.39	29.42
Bolbometopon muricatum	21.29	26.96	27.92	27.68	27.92	29.8
Aulacomya ater	0.74	13.61	13.96	13.14	14.7	20.22
Atherina boyeri	-1.66	17.44	17.44	17.73	18.5	24.95
Asaphis violascens	15.5	25.38	27.19	26.67	28.5	29.79
Artemia salina	12.17	14.65	14.65	18.14	21.03	28.52
Argyrosomus regius	11.42	18.27	18.89	18.73	19.04	29.18
Argyrosomus japonicus	15.68	19.72	19.72	19.92	20.26	28.07
Argyrosomus hololepidotus	14.65	19.14	23.46	23.07	27.18	28.06
Argopecten ventricosus	12.62	23.81	24.29	24.35	27.12	28.67
Argopecten irradians	11.24	21.77	24.1	21.98	24.57	28.76
Apostichopus japonicus	17.55	18.8	20.04	20.06	21.32	22.59
Anguilla japonica	13.52	28.85	28.85	28.47	28.85	29.08
Anguilla bicolor bicolor	25.72	27.59	28.34	27.97	28.61	29.6
Anguilla australis	12.64	15.73	19.16	19.15	21.58	28.99
Anguilla anguilla	5.79	10.19	10.53	11.14	11.88	28.4
Anarhichas lupus	-0.37	5.272	8.22	7.548	9.52	21.21
Anadara tuberculosa	26.75	26.77	26.81	26.95	27.05	28.62
Anadara broughtonii	12.16	13.53	14.67	15.81	17.3	28.53
Alaria esculenta	-0.46	9.77	10.53	9.496	11.12	15.39
Aequipecten opercularis	4.5	11.26	12.53	12.38	12.78	28.91
Acipenser stellatus	15.22	15.22	15.22	15.7	16.01	19.44
Acetes japonicus	13.87	19.51	28.11	24.05	28.59	29.03
Acanthopagrus schlegelii	9.67	18.88	19.68	20.83	23.46	28.89
Acanthopagrus latus	15.08	20	25.03	23.92	27.02	29.23
Acanthopagrus bifasciatus	17.24	24.6	26.45	26.12	27.36	29.98
Acanthopagrus berda	17.21	22.56	23.57	23.99	26.69	29.48
						
						
